近地铁 配套成熟 自住精装 中间楼层 业主置换诚售,https://hz.lianjia.com/ershoufang/103131846262.html,恒大帝景 ,南部卧城,"26,870元/平",368万,5室2厅 | 136.96平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
地段好，户型好，大面积中间楼层采光好，满五年,https://hz.lianjia.com/ershoufang/103125741095.html,盈兴公寓 ,钱江世纪城,"18,386元/平",230万,3室2厅 | 125.1平米 | 南 | 精装 | 5层  | 板楼,2024-08-01 22:59:28
南向大横厅，全屋精装修，视野佳，业主诚售！,https://hz.lianjia.com/ershoufang/103134097296.html,日耀之城 ,钱江世纪城,"60,484元/平",870万,4室2厅 | 143.84平米 | 南 | 精装 | 24层  | 塔楼,2024-08-01 22:59:28
南润名座，低总价，楼层视野佳，诚心出售。,https://hz.lianjia.com/ershoufang/103133772151.html,南润名座 ,南部卧城,"10,599元/平",40万,1室1厅 | 37.74平米 | 南 | 精装 | 低楼层(共19层)  | 塔楼,2024-08-01 22:59:28
满五唯一，中上楼层，房东诚心卖急卖,https://hz.lianjia.com/ershoufang/103134596461.html,众安白马御府 ,萧山新城区,"33,024元/平",320万,4室2厅 | 96.9平米 | 南 | 简装 | 中楼层(共19层)  | 板楼,2024-08-01 22:59:28
世纪城板块 总价低 业主诚心出售,https://hz.lianjia.com/ershoufang/103127925113.html,旭辉和昌都会山 ,钱江世纪城,"22,290元/平",125万,3室1厅 | 56.08平米 | 南 | 精装 | 21层  | 板塔结合,2024-08-01 22:59:28
滨江星翠澜庭， 凤凰层 城市景观业主诚心卖 看房方便,https://hz.lianjia.com/ershoufang/103129745957.html,星翠澜庭 ,钱江世纪城,"55,763元/平",600万,3室2厅 | 107.6平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 22:59:28
四叶草经典户型 格局视野宽阔 采光充足  年中旬满二年,https://hz.lianjia.com/ershoufang/103132319983.html,澄之华庭北区 ,钱江世纪城,"61,750元/平",920万,4室2厅 | 148.99平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 22:59:28
丰瑞北苑 2室1厅 南,https://hz.lianjia.com/ershoufang/103133691480.html,丰瑞北苑 ,钱江世纪城,"34,483元/平",225万,2室1厅 | 65.25平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,2024-08-01 22:59:28
地铁口，双泳池次新小区，高品质低密度花园小区,https://hz.lianjia.com/ershoufang/103122901991.html,宁东拥潮府 ,萧山新城区,"45,571元/平",588万,4室2厅 | 129.03平米 | 南 | 精装 | 27层  | 板楼,2024-08-01 22:59:28
精装修，3房2卫，配套齐全，楼层采光好,https://hz.lianjia.com/ershoufang/103133009352.html,恒大帝景 ,南部卧城,"26,173元/平",235万,3室2厅 | 89.79平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
