近地铁 配套成熟 自住精装 中间楼层 业主置换诚售,https://hz.lianjia.com/ershoufang/103131846262.html,恒大帝景 ,南部卧城,26870元/平,368万,5室2厅 | 136.96平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
地段好，户型好，大面积中间楼层采光好，满五年,https://hz.lianjia.com/ershoufang/103125741095.html,盈兴公寓 ,钱江世纪城,18386元/平,230万,3室2厅 | 125.1平米 | 南 | 精装 | 5层  | 板楼,2024-08-01 23:04:00
满五唯一，中上楼层，房东诚心卖急卖,https://hz.lianjia.com/ershoufang/103134596461.html,众安白马御府 ,萧山新城区,33024元/平,320万,4室2厅 | 96.9平米 | 南 | 简装 | 中楼层(共19层)  | 板楼,2024-08-01 23:04:00
滨江星翠澜庭， 凤凰层 城市景观业主诚心卖 看房方便,https://hz.lianjia.com/ershoufang/103129745957.html,星翠澜庭 ,钱江世纪城,55763元/平,600万,3室2厅 | 107.6平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 23:04:00
阳光城上府 3室1厅 南,https://hz.lianjia.com/ershoufang/103133621655.html,阳光城上府 ,西兴,33724元/平,300万,3室1厅 | 88.96平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,2024-08-01 23:04:00
次新电梯房，小区体量大，配套成熟，中间楼层，采光好,https://hz.lianjia.com/ershoufang/103134165184.html,广泽小区 ,南部卧城,16743元/平,125万,2室2厅 | 74.66平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2024-08-01 23:04:00
四叶草经典户型 格局视野宽阔 采光充足  年中旬满二年,https://hz.lianjia.com/ershoufang/103132319983.html,澄之华庭北区 ,钱江世纪城,61750元/平,920万,4室2厅 | 148.99平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 23:04:00
精装修，3房2卫，配套齐全，楼层采光好,https://hz.lianjia.com/ershoufang/103133009352.html,恒大帝景 ,南部卧城,26173元/平,235万,3室2厅 | 89.79平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
满五唯一 大三房 东边套 精装修 诚心出售,https://hz.lianjia.com/ershoufang/103130233816.html,美之园西区 ,湘湖,19114元/平,260万,3室2厅 | 136.03平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,2024-08-01 23:04:00
5号线地铁口，中间楼层，正对游泳池采光好,https://hz.lianjia.com/ershoufang/103129652690.html,得力名望府 ,萧山开发区,24879元/平,148万,2室2厅 | 59.49平米 | 南 | 毛坯 | 25层  | 板楼,2024-08-01 23:04:00
地铁口，双泳池次新小区，高品质低密度花园小区,https://hz.lianjia.com/ershoufang/103122901991.html,宁东拥潮府 ,萧山新城区,45571元/平,588万,4室2厅 | 129.03平米 | 南 | 精装 | 27层  | 板楼,2024-08-01 23:04:00
