地铁口  毛坯房 50平方私家花园 上下两层叠墅,https://hz.lianjia.com/ershoufang/103133089659.html,云彩之城 ,萧山开发区,39569元/平,400万,3室2厅 | 101.09平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 暂无数据,2024-08-03 23:10:28
滨江星翠澜庭， 凤凰层 城市景观业主诚心卖 看房方便,https://hz.lianjia.com/ershoufang/103129745957.html,星翠澜庭 ,钱江世纪城,55763元/平,600万,3室2厅 | 107.6平米 | 南 | 精装 | 25层  | 板楼,2024-08-03 23:10:28
南向大横厅，全屋精装修，视野佳，业主诚售！,https://hz.lianjia.com/ershoufang/103134097296.html,日耀之城 ,钱江世纪城,60484元/平,870万,4室2厅 | 143.84平米 | 南 | 精装 | 24层  | 塔楼,2024-08-03 23:10:28
标准三房 户型方正 出行便利，配套完善，地铁1公里,https://hz.lianjia.com/ershoufang/103130766361.html,久赋名邸 ,南部卧城,32600元/平,320万,3室2厅 | 98.16平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,2024-08-03 23:10:28
德圣博奥城，5房双卫99%得房率，精装修。,https://hz.lianjia.com/ershoufang/103134351718.html,德圣博奥城 ,萧山新城区,44038元/平,575万,5室2厅 | 130.57平米 | 南 西 北 | 精装 | 24层  | 板楼,2024-08-03 23:10:28
地铁口精装修，高楼层，软装柜子阳台改造好了,https://hz.lianjia.com/ershoufang/103129771995.html,久赋名邸 ,南部卧城,28252元/平,280万,3室1厅 | 99.11平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,2024-08-03 23:10:28
绕城内 次新小区多层洋房一梯两户 精装三房两卫 诚售,https://hz.lianjia.com/ershoufang/103132979102.html,绿都金域东方 ,义桥,17890元/平,158万,3室2厅 | 88.32平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,2024-08-03 23:10:28
江南学府精装100万地暧新风全屋智能拎包入住诚心出售,https://hz.lianjia.com/ershoufang/103134266437.html,融信江南学府 ,萧山新城区,44452元/平,568万,4室1厅 | 127.78平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2024-08-03 23:10:28
珑悦 四房 精工户型 优质好房,https://hz.lianjia.com/ershoufang/103130305593.html,柏峰珑悦府 ,钱江世纪城,50605元/平,720万,4室2厅 | 142.28平米 | 南 | 精装 | 18层  | 板楼,2024-08-03 23:10:28
旭辉和昌都会山 4室2厅 南,https://hz.lianjia.com/ershoufang/103134191303.html,旭辉和昌都会山 ,钱江世纪城,61692元/平,730万,4室2厅 | 118.33平米 | 南 | 精装 | 29层  | 板楼,2024-08-03 23:10:28
法式精装，东边套，价格低，诚心卖,https://hz.lianjia.com/ershoufang/103134314926.html,星翠澜庭 ,钱江世纪城,55171元/平,700万,4室2厅 | 126.88平米 | 东 南 | 精装 | 25层  | 板楼,2024-08-03 23:10:28
六楼精装修房子双北干业主诚心出售,https://hz.lianjia.com/ershoufang/103132819874.html,山阴小区 ,萧山市区,26936元/平,119万,2室1厅 | 44.18平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2024-08-03 23:10:28
融创洋房 高品质住宅 精装修带地暖 轻轨口 户型好！,https://hz.lianjia.com/ershoufang/103129721498.html,融创云潮府 ,萧山科技城,30356元/平,370万,4室2厅 | 121.89平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,2024-08-03 23:10:28
招商开发 央企品质 市北地铁盘 业主诚售,https://hz.lianjia.com/ershoufang/103131693465.html,招商蛇口花屿观澜里 ,萧山新城区,38844元/平,399万,3室2厅 | 102.72平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,2024-08-03 23:10:28
精装南北通 全明户型 中上楼层 可看房,https://hz.lianjia.com/ershoufang/103130373342.html,碧桂园越溪府 ,临浦,15038元/平,208万,4室3厅 | 138.32平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,2024-08-03 23:10:28
