103125102689,买一层得两层 房东诚心出售 地铁1。5号线交通方便,https://hz.lianjia.com/ershoufang/103125102689.html,中国铁建江南国际城 ,萧山新城区,39105元/平,470万,6室2厅 | 120.19平米 | 南 | 简装 | 34层  | 板塔结合,2024-08-04 11:21:29
103134097296,南向大横厅，全屋精装修，视野佳，业主诚售！,https://hz.lianjia.com/ershoufang/103134097296.html,日耀之城 ,钱江世纪城,60484元/平,870万,4室2厅 | 143.84平米 | 南 | 精装 | 24层  | 塔楼,2024-08-04 11:21:29
103132979102,绕城内 次新小区多层洋房一梯两户 精装三房两卫 诚售,https://hz.lianjia.com/ershoufang/103132979102.html,绿都金域东方 ,义桥,17890元/平,158万,3室2厅 | 88.32平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,2024-08-04 11:21:29
103134266437,江南学府精装100万地暧新风全屋智能拎包入住诚心出售,https://hz.lianjia.com/ershoufang/103134266437.html,融信江南学府 ,萧山新城区,44452元/平,568万,4室1厅 | 127.78平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2024-08-04 11:21:29
103129771995,地铁口精装修，高楼层，软装柜子阳台改造好了,https://hz.lianjia.com/ershoufang/103129771995.html,久赋名邸 ,南部卧城,28252元/平,280万,3室1厅 | 99.11平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,2024-08-04 11:21:29
103134351718,德圣博奥城，5房双卫99%得房率，精装修。,https://hz.lianjia.com/ershoufang/103134351718.html,德圣博奥城 ,萧山新城区,44038元/平,575万,5室2厅 | 130.57平米 | 南 西 北 | 精装 | 24层  | 板楼,2024-08-04 11:21:29
103130766361,标准三房 户型方正 出行便利，配套完善，地铁1公里,https://hz.lianjia.com/ershoufang/103130766361.html,久赋名邸 ,南部卧城,32600元/平,320万,3室2厅 | 98.16平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,2024-08-04 11:21:29
103134191303,旭辉和昌都会山 4室2厅 南,https://hz.lianjia.com/ershoufang/103134191303.html,旭辉和昌都会山 ,钱江世纪城,61692元/平,730万,4室2厅 | 118.33平米 | 南 | 精装 | 29层  | 板楼,2024-08-04 11:21:29
103134398958,诚心售 满五唯一 位置佳 尽揽白马湖畔山水美景,https://hz.lianjia.com/ershoufang/103134398958.html,旭辉滨江东方悦府 ,湘湖,29549元/平,260万,3室2厅 | 87.99平米 | 南 | 精装 | 20层  | 板楼,2024-08-04 11:21:29
103125677599,世纪城板块，精装修带地暖 中高楼层  满五唯一,https://hz.lianjia.com/ershoufang/103125677599.html,柏峰珑悦府 ,钱江世纪城,51999元/平,730万,4室2厅 | 140.39平米 | 南 北 | 精装 | 18层  | 板楼,2024-08-04 11:21:29
103130373342,精装南北通 全明户型 中上楼层 可看房,https://hz.lianjia.com/ershoufang/103130373342.html,碧桂园越溪府 ,临浦,15038元/平,208万,4室3厅 | 138.32平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,2024-08-04 11:21:29
